RWrist:X,RWrist:Y,RWrist:Z,RElbow:X,RElbow:Y,RElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,LElbow:X,LElbow:Y,LElbow:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,RHip:X,RHip:Y,RHip:Z,LHip:X,LHip:Y,LHip:Z,RKnee:X,RKnee:Y,RKnee:Z,LKnee:X,LKnee:Y,LKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,LAnkle:X,LAnkle:Y,LAnkle:Z
-0.61856,0.1961657,1.409286,-0.3698443,0.2035951,1.418969,0.7914895,0.07665671,1.438748,0.5551063,0.1549564,1.437895,-0.09332452,0.1178843,1.482185,0.2667514,0.1117569,1.490726,-0.03913025,0.08103985,1.004614,0.2067354,0.06259672,0.97654,-0.09162271,0.1326027,0.5381891,0.2454036,0.104117,0.5077671,-0.1397688,0.2222005,0.08073644,0.2854532,0.2046279,0.05180442
-0.6187968,0.1959399,1.408223,-0.3701047,0.2033763,1.41849,0.7911394,0.07607412,1.439892,0.5549273,0.154882,1.438558,-0.09355821,0.1179731,1.482005,0.266547,0.111764,1.491316,-0.0386045,0.08222538,1.004599,0.2072372,0.0634218,0.9765549,-0.09135949,0.1331301,0.5381315,0.2457819,0.1048503,0.5077636,-0.1398141,0.2223087,0.08062957,0.2857102,0.2047146,0.05164833
-0.6190399,0.1957488,1.40731,-0.3703665,0.2031622,1.418033,0.7910905,0.07574048,1.440602,0.554861,0.1544988,1.439436,-0.09380133,0.1179799,1.481764,0.2663462,0.1117256,1.491738,-0.03825062,0.08243553,1.004476,0.2076342,0.06406645,0.9765217,-0.09112847,0.1337493,0.5380675,0.2461336,0.1056664,0.5077419,-0.1397899,0.2223664,0.0804784,0.286035,0.2048118,0.05146738
-0.6192771,0.1953052,1.406583,-0.3706241,0.2029738,1.4176,0.7909732,0.07521648,1.441475,0.554795,0.1541297,1.440385,-0.09400665,0.1181141,1.481533,0.2661134,0.1117383,1.492074,-0.0378058,0.08343749,1.00448,0.2080713,0.06487209,0.976588,-0.0908987,0.1342367,0.5380393,0.2464661,0.1064017,0.5077933,-0.1397714,0.2224272,0.0803903,0.2863304,0.2048819,0.05137158
-0.6195006,0.1948264,1.406023,-0.3708715,0.2029784,1.417229,0.7907705,0.07453451,1.442504,0.5547106,0.1538001,1.441366,-0.09425987,0.1182638,1.481379,0.2658736,0.1117244,1.492441,-0.03747907,0.08375487,1.004411,0.2084372,0.06553571,0.9766365,-0.09071993,0.1346446,0.5379975,0.2467682,0.1070627,0.5078364,-0.1397443,0.2224736,0.08029521,0.2865933,0.204953,0.05128434
-0.6197538,0.194242,1.405658,-0.3711502,0.2030385,1.416942,0.7904841,0.07371292,1.443811,0.5545869,0.153455,1.442291,-0.09452485,0.1185075,1.481274,0.2656049,0.1118023,1.49289,-0.03719522,0.08445961,1.004403,0.2087304,0.06629096,0.9766772,-0.09058117,0.1349604,0.5379632,0.2470153,0.1076882,0.5078619,-0.1397154,0.2224934,0.08021591,0.2868407,0.20504,0.0511947
-0.6199784,0.1936498,1.405449,-0.3713992,0.2031255,1.41672,0.7902287,0.07292041,1.44506,0.5545022,0.1531599,1.443246,-0.09475378,0.1187661,1.481191,0.2653745,0.1118722,1.493308,-0.03696396,0.08501381,1.004419,0.2089735,0.06693176,0.9767426,-0.09046582,0.1352945,0.5379693,0.2472089,0.1082203,0.5079136,-0.1396674,0.2224828,0.08016352,0.2869909,0.2050796,0.05113792
-0.6202112,0.1931739,1.405358,-0.3716541,0.2032815,1.416568,0.7899359,0.07207457,1.446436,0.5544112,0.1528919,1.444143,-0.09497551,0.1190876,1.481114,0.2651576,0.1119916,1.493795,-0.03677206,0.08550792,1.004407,0.2091828,0.06761826,0.9767593,-0.09038367,0.1354368,0.5379313,0.2473543,0.1086693,0.5079044,-0.1396517,0.2224967,0.08010823,0.2870581,0.2051249,0.05103645
-0.6204298,0.1926135,1.405465,-0.3718976,0.2035077,1.416488,0.7896864,0.07128158,1.447814,0.5543475,0.1526248,1.445074,-0.09516832,0.1195088,1.481071,0.26494,0.1121689,1.49419,-0.03664245,0.0859106,1.004394,0.20933,0.06822898,0.9767696,-0.09032845,0.1357052,0.5379133,0.247451,0.1090514,0.5078905,-0.1396595,0.2225163,0.08004973,0.2871028,0.2051581,0.05094459
-0.6206578,0.1923296,1.405632,-0.3721441,0.2037659,1.416521,0.789459,0.07056479,1.449162,0.5542865,0.1523708,1.445953,-0.09536586,0.1198737,1.481033,0.2647375,0.1123383,1.49458,-0.03642723,0.0863968,1.004396,0.209613,0.06965778,0.9767877,-0.09024875,0.1359161,0.5379015,0.2475487,0.1092763,0.5077903,-0.139718,0.2225501,0.08001933,0.287109,0.2052041,0.05079887
